Block Height,Timestamp,Tx ID,Inputs,Outputs,Total Output ,Fee 
163,2011-10-13 03:09:27,603ed63e4c687d97a84934abca57daa51e4a257f07b9b58f85fb98332f2097a2,0,1,50.0,0.0
164,2011-10-13 03:09:31,f5894e40afee5a654187368d7edefd394e36fa85e3bdebf528c3c3757cc7213d,0,1,50.0,0.0
165,2011-10-13 03:09:36,3c37fc498a006e1e17f85dd48c921c14aef1a7595abc7eef5fc0b911dc4eaee9,0,1,50.0,0.0
166,2011-10-13 03:09:40,e526eb36697f739c7b938115768094e2df97765dd402a0a9ef333594036f6c57,0,1,50.0,0.0
167,2011-10-13 03:09:44,a2572d3e9cd8e3b119cd4ba6b3036751ab33b713e65782e989b541f747b07f1b,0,1,50.0,0.0
168,2011-10-13 03:09:47,3144915e5817c9e1f6da7c0fd7de724646001bd263abfe0cb9a3cbe358e8873e,0,1,50.0,0.0
169,2011-10-13 03:09:51,3a03dbd0d13a174893cbf03db91e9c08e4bfdde05b37496d800a687defff9db0,0,1,50.0,0.0
170,2011-10-13 03:09:54,bf82d863972343d85649b504aa82d98516527452edc2ec9defccf5fb4eeb310d,0,1,50.0,0.0
171,2011-10-13 03:09:56,5c908e710b4626ca6dd721fb53ef3e308697c198e66b681dd7f16c03923b9efe,0,1,50.0,0.0
172,2011-10-13 03:10:04,0595bd05539451b668400906aec4941654d587752b41de6850d3b70080324490,0,1,50.0,0.0
173,2011-10-13 03:10:05,7a709cde7843de5751bed4cb199ce121ea98e22142a5be72c4dc88f87d80469b,0,1,50.0,0.0
174,2011-10-13 03:10:07,5dc5cb841c4800437a0d8a60b9a1af727f37db0f4f6cc84dbc4dcd6832e9f951,0,1,50.0,0.0
175,2011-10-13 03:10:12,da850d036ec76610caac1349c07ce1dba86723743c04bd84e8c050c7ed920f8c,0,1,50.0,0.0
176,2011-10-13 03:10:17,7e45b22b8336e8d788c16e9f72ff9929548960c20934a75d56b202e0affed4bf,0,1,50.0,0.0
177,2011-10-13 03:10:19,7cb910447722149e1dfcaecd7759a3f312be346e09ef65dc1f1a94c3b9038522,0,1,50.0,0.0
178,2011-10-13 03:10:27,02dcdfc1509222a33a6ded13414ded867e90a4604910536abc53cb766eef3f2d,0,1,50.0,0.0
179,2011-10-13 03:10:30,b7156f882c45acad2febc4ecbf20738856805c5c274d4b3ee3f6154cb408ad22,0,1,50.0,0.0
180,2011-10-13 03:10:29,8c27c11f128f149b3f3524bc17b92782009176d3efb6b4686eddff84281c9fc2,0,1,50.0,0.0
181,2011-10-13 03:10:32,070db9e2b4c2019e81913ca41b7f18748c3b3ae44b5bc99cbe98267f80e6d469,0,1,50.0,0.0
182,2011-10-13 03:10:36,32ed1d641620931b2d4a0a7cfd46fd6519b59172b960ea8843b8e439cb307d9b,0,1,50.0,0.0
183,2011-10-13 03:10:38,39bcfdea1bde1cc567ae225affc78698694e1b523dbc389f40151c84ce22e1af,0,1,50.0,0.0
184,2011-10-13 03:10:46,8ace5793c2b57ffed30978b8f7a29aa543139cecd28d3369d0a996e5c901d6e6,0,1,50.0,0.0
185,2011-10-13 03:10:49,c523c4a9d07c3b9a7dd656a2b7b1469b300e3425fb9383a698a938ea16279856,0,1,50.0,0.0
186,2011-10-13 03:10:52,917b06c69c40441f65d602f5eac815e29bfd255aa577c181100df1b88b4261ea,0,1,50.0,0.0
187,2011-10-13 03:10:54,7238ad3d85d8f9de76b97e167212bfe1bbc60f1e54a42a13a21eeb523be36b14,0,1,50.0,0.0
188,2011-10-13 03:10:58,6e89e39ae4232dda888b4818eaaecc0e83102da17656358806af21ea8786f403,0,1,50.0,0.0
189,2011-10-13 03:11:01,51b711ea103a3cc6107ac9e582295d47cf19f28c6224ee73ad904fa17edd0dc7,0,1,50.0,0.0
190,2011-10-13 03:11:05,819ea179e644f4d1342d83cb563cf233d56480f15e1ee5e3b32d05386765e0b3,0,1,50.0,0.0
191,2011-10-13 03:11:07,43424eab17a34f4b0d72121c806387de72d1f60d39394c7366b5a6650c484da9,0,1,50.0,0.0
192,2011-10-13 03:11:10,12cf9361cf72f1c2696285e87c2956689b47a4fc58cac52fba2cc66150e8dd86,0,1,50.0,0.0
193,2011-10-13 03:11:12,a54fad5c4c08fd6a67508806d2e8177b59091ddd4b3f56531407d5800d1be7d1,0,1,50.0,0.0
194,2011-10-13 03:11:16,05e8997cd103dfdd88b3abaef08bc2036a001a722d7615f751c6a14e7b84d2b8,0,1,50.0,0.0
195,2011-10-13 03:11:19,34952d1a1e66393c54c6abfc46c61d1427a315ffc45f2edb47bad8b48f064daf,0,1,50.0,0.0
196,2011-10-13 03:11:25,08b5b37dd4f3e9b40b8680999c1d79399bcbe5d79d94ba358e6cdb43e826127d,0,1,50.0,0.0
197,2011-10-13 03:11:29,d72fdd4d98ab4bbd4e9023ba698d7fef078a0fe8d21ab116b9ec695b603c756d,0,1,50.0,0.0
